train_no,train_name
90098,Virar 90098 12 CAR
90100,Borivali 90100 12 CAR
90102,Vasai Road 90102 12 CAR
93002,Dahanu Road 93002 12 CAR
90104,Borivali 90104 12 CAR
94006,Virar 94006 12 CAR
90156,Borivali 90156 12 CAR
90158,Virar 90158 12 CAR
90160,Goregoan 90160 12 CAR
90162,Borivali 90162 12 CAR
90164,Virar 90164 12 CAR
90166,Borivali 90166 12 CAR
90168,Borivali 90168 12 CAR
92026,Virar 92026 15 CAR
93004,Dahanu Road 93004 12 CAR
90170,Bandra 90170 12 CAR
90172,Borivali* 90172 12 CAR
90174,Vasai Road 90174 12 CAR
90176,Borivali 90176 12 CAR
90178,Andheri 90178 12 CAR
90180,Goregoan 90180 12 CAR
90182,Virar 90182 12 CAR
92028,Virar 92028 15 CAR
94012,Virar 94012 12 CAR
92030,Virar 92030 15 CAR
92032,Virar 92032 15 CAR
92034,Vasai Road 92034 15 CAR
90198,Borivali 90198 12 CAR
90248,Borivali 90248 12 CAR
90250,GMN 90250 12 CAR
92044,VR 92044 15 CAR
90252,VR 90252 12 CAR
90254,Borivali 90254 12 CAR
90256,Borivali 90256 12 CAR
92046,VR 92046 15 CAR
92048,VR 92048 15 CAR
90258,Borivali 90258 12 CAR
90260,VR 90260 12 CAR
92050,BYR 92050 15 CAR
90262,Borivali 90262 12 CAR
90264,GMN 90264 12 CAR
93006,DRD 93006 12 CAR
94036,VR 94036 12 CAR
90490,BVI 90490 12 CAR
90492,BVI 90492 12 CAR
90494,BVI 90494 12 CAR
90496,BVI 90496 12 CAR
90498,VR 90498 12 CAR
90500,BSR 90500 12 CAR
92100,VR 92100 15 CAR
90502,GMN 90502 12 CAR
90504,BVI 90504 12 CAR
92102,VR 92102 15 CAR
90506,BYR 90506 12 CAR
90508,BVI 90508 12 CAR
92104,VR 92104 15 CAR
94038,VR 94038 12 CAR
90510,BVI 90510 12 CAR
94040,BVI 94040 12 CAR
90512,VR 90512 12 CAR
90514,BVI 90514 12 CAR
90516,BVI 90516 12 CAR
92106,VR 92106 15 CAR
90520,BVI 90520 12 CAR
90522,VR 90522 12 CAR
90524,BVI 90524 12 CAR
90526,BSR 90526 12 CAR
90532,BVI 90532 12 CAR
90534,VR 90534 12 CAR
90558,ADH 90558 12 CAR
90560,VR 90560 12 CAR
90562,VR 90562 12 CAR
90564,BVI 90564 12 CAR
93020,DRD 93020 12 CAR
90566,GMN 90566 12 CAR
90568,BSR 90568 12 CAR
92114,VR 92114 15 CAR
90570,BVI 90570 12 CAR
90572,VR 90572 12 CAR
90574,BVI 90574 12 CAR
92116,VR 92116 15 CAR
90576,BVI 90576 12 CAR
90622,BVI 90622 12 CAR
90624,VR 90624 12 CAR
90626,BVI 90626 12 CAR
90628,BYR 90628 12 CAR
90630,VR 90630 12 CAR
94050,BVI 94050 12 CAR
90634,MDD 90634 12 CAR
90636,GMN 90636 12 CAR
90638,BVI 90638 12 CAR
92128,BSR 92128 15 CAR
92130,VR 92130 15 CAR
